type,value,source,confidence,first_seen,last_seen,tags,threat_type,malware_family,tlp
ipv4,192.168.1.100,OTX AlienVault,85,2024-01-15T10:00:00Z,2024-01-15T10:30:00Z,"malware,c2",malware,emotet,GREEN
ipv4,10.0.0.50,URLhaus,72,2024-01-14T08:00:00Z,2024-01-15T10:30:00Z,"scanner",scanner,,GREEN
ipv4,172.16.0.25,MISP,90,2024-01-13T12:00:00Z,2024-01-15T10:30:00Z,"c2,apt",c2,cobalt_strike,AMBER
ipv4,203.0.113.50,Custom CSV,45,2024-01-12T14:00:00Z,2024-01-15T10:30:00Z,"phishing",phishing,,GREEN
ipv4,198.51.100.25,Manual Import,65,2024-01-11T16:00:00Z,2024-01-15T10:30:00Z,"malware",malware,trickbot,GREEN
ipv4,192.0.2.100,OTX AlienVault,78,2024-01-10T18:00:00Z,2024-01-15T10:30:00Z,"scanner,bruteforce",scanner,,GREEN
ipv4,10.10.10.10,URLhaus,82,2024-01-09T20:00:00Z,2024-01-15T10:30:00Z,"malware,c2",malware,emotet,GREEN
ipv4,172.16.255.255,MISP,88,2024-01-08T22:00:00Z,2024-01-15T10:30:00Z,"apt,lateral_movement",malware,apt28,RED
ipv4,10.0.0.1,Custom CSV,35,2024-01-07T12:00:00Z,2024-01-15T10:30:00Z,"scanner",scanner,,GREEN
ipv4,192.168.100.1,Manual Import,55,2024-01-06T14:00:00Z,2024-01-15T10:30:00Z,"phishing",phishing,,GREEN
ipv4,10.1.1.1,OTX AlienVault,70,2024-01-05T16:00:00Z,2024-01-15T10:30:00Z,"malware",malware,lockbit,GREEN
ipv4,172.20.0.1,URLhaus,60,2024-01-04T18:00:00Z,2024-01-15T10:30:00Z,"c2",c2,,GREEN
ipv4,203.0.113.100,MISP,95,2024-01-03T20:00:00Z,2024-01-15T10:30:00Z,"apt,data_exfil",c2,apt29,RED
ipv4,198.51.100.50,Custom CSV,40,2024-01-02T22:00:00Z,2024-01-15T10:30:00Z,"spam",spam,,GREEN
