ts,src,dst,dport,proto,app,sni,host,uri,ja3,family,verdict
0.5,192.0.2.30,198.51.100.53,53,udp,dns,-,docs.example,/,-,dns,clean
0.6,192.0.2.19,198.51.100.53,53,udp,dns,-,intranet.example,/,-,dns,clean
0.6,192.0.2.22,198.51.100.53,53,udp,dns,-,mail.example,/,-,dns,clean
0.7,192.0.2.27,198.51.100.53,53,udp,dns,-,news.invalid,/,-,dns,clean
0.7,192.0.2.11,198.51.100.53,53,udp,dns,-,ntp.example,/,-,dns,clean
0.8,192.0.2.24,198.51.100.53,53,udp,dns,-,portal.example,/,-,dns,clean
0.8,192.0.2.18,198.51.100.53,53,udp,dns,-,search.example,/,-,dns,clean
0.9,192.0.2.23,198.51.100.53,53,udp,dns,-,time.example,/,-,dns,clean
0.9,192.0.2.30,198.51.100.53,53,udp,dns,-,wiki.example,/,-,dns,clean
2.1,192.0.2.18,198.51.100.10,443,tcp,http,docs.example,docs.example,/search?q=meeting+notes,browser-chro,benign,clean
2.3,192.0.2.19,198.51.100.11,443,tcp,http,mail.example,mail.example,/api/v1/me,browser-chro,benign,clean
15.1,192.0.2.22,198.51.100.11,443,tcp,http,mail.example,mail.example,/search?q=meeting+notes,browser-chro,benign,clean
24.5,192.0.2.30,198.51.100.13,443,tcp,http,mail.example,mail.example,/,browser-chro,benign,clean
31.6,192.0.2.23,198.51.100.12,443,tcp,http,news.invalid,news.invalid,/assets/app.css,browser-chro,benign,clean
34.9,192.0.2.11,198.51.100.10,443,tcp,http,search.example,search.example,/,browser-chro,benign,clean
35.1,192.0.2.27,198.51.100.53,123,udp,ntp,-,time.example,/,-,ntp,clean
35.7,192.0.2.24,198.51.100.13,443,tcp,http,search.example,search.example,/assets/app.css,browser-chro,benign,clean
51.0,192.0.2.27,198.51.100.10,443,tcp,http,wiki.example,wiki.example,/index.html,browser-chro,benign,clean
114.3,192.0.2.24,198.51.100.53,123,udp,ntp,-,time.example,/,-,ntp,clean
170.9,192.0.2.24,198.51.100.12,443,tcp,http,search.example,search.example,/index.html,browser-chro,benign,clean
195.6,192.0.2.30,198.51.100.53,123,udp,ntp,-,time.example,/,-,ntp,clean
200.0,192.0.2.11,198.51.100.10,443,tcp,http,wiki.example,wiki.example,/api/v1/me,browser-chro,benign,clean
203.7,192.0.2.27,198.51.100.13,443,tcp,http,docs.example,docs.example,/assets/app.css,browser-chro,benign,clean
250.9,192.0.2.23,198.51.100.11,443,tcp,http,wiki.example,wiki.example,/api/v1/me,browser-chro,benign,clean
269.1,192.0.2.18,198.51.100.12,443,tcp,http,search.example,search.example,/assets/app.css,browser-chro,benign,clean
269.7,192.0.2.19,198.51.100.11,443,tcp,http,mail.example,mail.example,/assets/app.css,browser-chro,benign,clean
275.3,192.0.2.22,198.51.100.11,443,tcp,http,intranet.example,intranet.example,/index.html,browser-chro,benign,clean
337.7,192.0.2.22,198.51.100.10,443,tcp,http,docs.example,docs.example,/api/v1/me,browser-chro,benign,clean
344.8,192.0.2.30,198.51.100.11,443,tcp,http,mail.example,mail.example,/,browser-chro,benign,clean
351.5,192.0.2.11,198.51.100.10,443,tcp,http,wiki.example,wiki.example,/index.html,browser-chro,benign,clean
389.1,192.0.2.24,198.51.100.13,443,tcp,http,news.invalid,news.invalid,/assets/app.css,browser-chro,benign,clean
454.2,192.0.2.11,198.51.100.11,443,tcp,http,news.invalid,news.invalid,/assets/app.css,browser-chro,benign,clean
500.0,192.0.2.22,198.51.100.13,443,tcp,http,portal.example,portal.example,/,browser-chro,benign,clean
519.4,192.0.2.19,198.51.100.10,443,tcp,http,mail.example,mail.example,/search?q=meeting+notes,browser-chro,benign,clean
522.3,192.0.2.27,198.51.100.13,443,tcp,http,portal.example,portal.example,/,browser-chro,benign,clean
563.5,192.0.2.19,198.51.100.53,123,udp,ntp,-,ntp.example,/,-,ntp,clean
581.6,192.0.2.23,198.51.100.12,443,tcp,http,news.invalid,news.invalid,/,browser-chro,benign,clean
582.2,192.0.2.11,198.51.100.10,443,tcp,http,portal.example,portal.example,/index.html,browser-chro,benign,clean
614.0,192.0.2.18,198.51.100.13,443,tcp,http,intranet.example,intranet.example,/,browser-chro,benign,clean
675.6,192.0.2.24,198.51.100.13,443,tcp,http,intranet.example,intranet.example,/search?q=meeting+notes,browser-chro,benign,clean
680.3,192.0.2.30,198.51.100.11,443,tcp,http,mail.example,mail.example,/index.html,browser-chro,benign,clean
701.9,192.0.2.22,198.51.100.13,443,tcp,http,news.invalid,news.invalid,/index.html,browser-chro,benign,clean
722.3,192.0.2.19,198.51.100.13,443,tcp,http,portal.example,portal.example,/assets/app.css,browser-chro,benign,clean
751.2,192.0.2.27,198.51.100.12,443,tcp,http,docs.example,docs.example,/search?q=meeting+notes,browser-chro,benign,clean
751.9,192.0.2.11,198.51.100.13,443,tcp,http,docs.example,docs.example,/index.html,browser-chro,benign,clean
753.4,192.0.2.18,198.51.100.12,443,tcp,http,search.example,search.example,/index.html,browser-chro,benign,clean
787.0,192.0.2.27,198.51.100.10,443,tcp,http,intranet.example,intranet.example,/search?q=meeting+notes,browser-chro,benign,clean
790.2,192.0.2.23,198.51.100.13,443,tcp,http,docs.example,docs.example,/search?q=meeting+notes,browser-chro,benign,clean
792.3,192.0.2.23,198.51.100.53,123,udp,ntp,-,ntp.example,/,-,ntp,clean
806.8,192.0.2.18,198.51.100.53,123,udp,ntp,-,time.example,/,-,ntp,clean
845.6,192.0.2.19,198.51.100.11,443,tcp,http,intranet.example,intranet.example,/assets/app.css,browser-chro,benign,clean
861.9,192.0.2.23,198.51.100.13,443,tcp,http,intranet.example,intranet.example,/assets/app.css,browser-chro,benign,clean
864.1,192.0.2.30,198.51.100.11,443,tcp,http,search.example,search.example,/index.html,browser-chro,benign,clean
865.6,192.0.2.11,198.51.100.53,123,udp,ntp,-,time.example,/,-,ntp,clean
918.0,192.0.2.22,198.51.100.10,443,tcp,http,search.example,search.example,/search?q=meeting+notes,browser-chro,benign,clean
920.1,192.0.2.24,198.51.100.11,443,tcp,http,docs.example,docs.example,/index.html,browser-chro,benign,clean
1004.1,192.0.2.22,198.51.100.53,123,udp,ntp,-,time.example,/,-,ntp,clean
1005.2,192.0.2.11,198.51.100.11,443,tcp,http,mail.example,mail.example,/index.html,browser-chro,benign,clean
1059.1,192.0.2.27,198.51.100.53,123,udp,ntp,-,ntp.example,/,-,ntp,clean
1064.1,192.0.2.18,198.51.100.12,443,tcp,http,docs.example,docs.example,/api/v1/me,browser-chro,benign,clean
1095.5,192.0.2.19,198.51.100.13,443,tcp,http,news.invalid,news.invalid,/search?q=meeting+notes,browser-chro,benign,clean
