ts,src,dst,dport,proto,app,sni,host,uri,ja3,family,verdict
0.4,192.0.2.13,198.51.100.11,443,tcp,http,intranet.example,intranet.example,/assets/app.css,browser-chro,benign,clean
0.5,192.0.2.14,198.51.100.53,53,udp,dns,-,203.0.113.10,/,-,dns,clean
0.6,192.0.2.11,198.51.100.53,53,udp,dns,-,203.0.113.11,/,-,dns,clean
0.6,192.0.2.19,198.51.100.53,53,udp,dns,-,203.0.113.12,/,-,dns,clean
0.7,192.0.2.18,198.51.100.53,53,udp,dns,-,203.0.113.13,/,-,dns,clean
0.7,192.0.2.27,198.51.100.53,53,udp,dns,-,203.0.113.14,/,-,dns,clean
0.8,192.0.2.13,198.51.100.53,53,udp,dns,-,bv7xk2qmzp41tn9w3jfx8c2d.invalid,/,-,dns,suspicious
0.8,192.0.2.22,198.51.100.53,53,udp,dns,-,docs.example,/,-,dns,clean
0.9,192.0.2.12,198.51.100.53,53,udp,dns,-,intranet.example,/,-,dns,clean
0.9,192.0.2.14,198.51.100.53,53,udp,dns,-,k4pr82tmxq50z1n6hc4vs3d7.invalid,/,-,dns,suspicious
0.9,192.0.2.11,198.51.100.53,53,udp,dns,-,mail.example,/,-,dns,clean
1.0,192.0.2.19,198.51.100.53,53,udp,dns,-,news.invalid,/,-,dns,clean
1.1,192.0.2.18,198.51.100.53,53,udp,dns,-,ntp.example,/,-,dns,clean
1.1,192.0.2.27,198.51.100.53,53,udp,dns,-,p9q2wk5m8zx1j3f7dx4nb6c2h5t.invalid,/,-,dns,suspicious
1.1,192.0.2.13,198.51.100.53,53,udp,dns,-,portal.example,/,-,dns,clean
1.2,192.0.2.22,198.51.100.53,53,udp,dns,-,search.example,/,-,dns,clean
1.2,192.0.2.12,198.51.100.53,53,udp,dns,-,time.example,/,-,dns,clean
1.3,192.0.2.14,198.51.100.53,53,udp,dns,-,w2r6y3u8o1e5q0s4a7d9g2h5j.invalid,/,-,dns,suspicious
1.4,192.0.2.11,198.51.100.53,53,udp,dns,-,wiki.example,/,-,dns,clean
6.6,192.0.2.22,198.51.100.10,443,tcp,http,docs.example,docs.example,/api/v1/me,browser-chro,benign,clean
8.9,192.0.2.14,198.51.100.11,443,tcp,http,news.invalid,news.invalid,/api/v1/me,browser-chro,benign,clean
12.2,192.0.2.19,198.51.100.10,443,tcp,http,api.example,203.0.113.12,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
15.6,192.0.2.11,198.51.100.13,443,tcp,http,docs.example,docs.example,/api/v1/me,browser-chro,benign,clean
18.0,192.0.2.12,198.51.100.13,443,tcp,http,intranet.example,intranet.example,/,browser-chro,benign,clean
21.5,192.0.2.11,198.51.100.11,443,tcp,http,api.example,203.0.113.13,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
23.7,192.0.2.14,198.51.100.10,443,tcp,http,assets.example,203.0.113.12,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
32.5,192.0.2.27,198.51.100.11,443,tcp,http,mail.example,mail.example,/search?q=meeting+notes,browser-chro,benign,clean
44.9,192.0.2.18,198.51.100.13,443,tcp,http,search.example,search.example,/index.html,browser-chro,benign,clean
44.9,192.0.2.19,198.51.100.12,443,tcp,http,news.invalid,news.invalid,/api/v1/me,browser-chro,benign,clean
56.3,192.0.2.11,198.51.100.10,443,tcp,http,assets.example,203.0.113.10,/api/v1/telemetry,c2-fronting-,campaign,malicious
57.0,192.0.2.19,198.51.100.11,443,tcp,http,cdn.example,203.0.113.14,/api/v1/telemetry,c2-fronting-,campaign,malicious
69.3,192.0.2.14,198.51.100.10,443,tcp,http,updates.example,203.0.113.14,/api/v1/telemetry,c2-fronting-,campaign,malicious
76.2,192.0.2.18,198.51.100.10,443,tcp,http,mail.example,mail.example,/index.html,browser-chro,benign,clean
91.9,192.0.2.19,198.51.100.12,443,tcp,http,cdn.example,203.0.113.14,/api/v1/telemetry,c2-fronting-,campaign,malicious
106.5,192.0.2.14,198.51.100.11,443,tcp,http,static.example,203.0.113.10,/api/v1/telemetry,c2-fronting-,campaign,malicious
107.7,192.0.2.11,198.51.100.11,443,tcp,http,static.example,203.0.113.10,/api/v1/telemetry,c2-fronting-,campaign,malicious
114.0,192.0.2.14,198.51.100.11,443,tcp,http,docs.example,docs.example,/api/v1/me,browser-chro,benign,clean
126.8,192.0.2.13,198.51.100.53,123,udp,ntp,-,time.example,/,-,ntp,clean
131.5,192.0.2.19,198.51.100.12,443,tcp,http,static.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
150.0,192.0.2.14,198.51.100.10,443,tcp,http,static.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
155.1,192.0.2.11,198.51.100.12,443,tcp,http,updates.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
177.2,192.0.2.11,198.51.100.10,443,tcp,http,portal.example,portal.example,/index.html,browser-chro,benign,clean
181.5,192.0.2.19,198.51.100.13,443,tcp,http,api.example,203.0.113.13,/api/v1/telemetry,c2-fronting-,campaign,malicious
190.1,192.0.2.14,198.51.100.13,443,tcp,http,cdn.example,203.0.113.14,/api/v1/telemetry,c2-fronting-,campaign,malicious
203.9,192.0.2.18,198.51.100.10,443,tcp,http,news.invalid,news.invalid,/index.html,browser-chro,benign,clean
206.2,192.0.2.11,198.51.100.13,443,tcp,http,cdn.example,203.0.113.10,/api/v1/telemetry,c2-fronting-,campaign,malicious
219.9,192.0.2.22,198.51.100.53,123,udp,ntp,-,time.example,/,-,ntp,clean
229.3,192.0.2.27,198.51.100.11,443,tcp,http,news.invalid,news.invalid,/assets/app.css,browser-chro,benign,clean
229.7,192.0.2.19,198.51.100.12,443,tcp,http,static.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
236.2,192.0.2.11,198.51.100.12,443,tcp,http,intranet.example,intranet.example,/,browser-chro,benign,clean
240.4,192.0.2.14,198.51.100.11,443,tcp,http,assets.example,203.0.113.10,/api/v1/telemetry,c2-fronting-,campaign,malicious
258.3,192.0.2.11,198.51.100.10,443,tcp,http,api.example,203.0.113.10,/api/v1/telemetry,c2-fronting-,campaign,malicious
259.8,192.0.2.19,198.51.100.11,443,tcp,http,news.invalid,news.invalid,/index.html,browser-chro,benign,clean
262.0,192.0.2.18,198.51.100.10,443,tcp,http,intranet.example,intranet.example,/,browser-chro,benign,clean
265.6,192.0.2.19,198.51.100.11,443,tcp,http,updates.example,203.0.113.10,/api/v1/telemetry,c2-fronting-,campaign,malicious
292.0,192.0.2.14,198.51.100.12,443,tcp,http,updates.example,203.0.113.13,/api/v1/telemetry,c2-fronting-,campaign,malicious
308.3,192.0.2.11,198.51.100.13,443,tcp,http,cdn.example,203.0.113.13,/api/v1/telemetry,c2-fronting-,campaign,malicious
318.2,192.0.2.19,198.51.100.13,443,tcp,http,api.example,203.0.113.14,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
330.5,192.0.2.14,198.51.100.10,443,tcp,http,api.example,203.0.113.14,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
334.0,192.0.2.13,198.51.100.12,443,tcp,http,intranet.example,intranet.example,/,browser-chro,benign,clean
342.6,192.0.2.14,198.51.100.13,443,tcp,http,wiki.example,wiki.example,/search?q=meeting+notes,browser-chro,benign,clean
354.7,192.0.2.11,198.51.100.13,443,tcp,http,assets.example,203.0.113.11,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
363.9,192.0.2.19,198.51.100.12,443,tcp,http,cdn.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
369.0,192.0.2.12,198.51.100.11,443,tcp,http,news.invalid,news.invalid,/assets/app.css,browser-chro,benign,clean
382.5,192.0.2.14,198.51.100.12,443,tcp,http,static.example,203.0.113.10,/api/v1/telemetry,c2-fronting-,campaign,malicious
396.8,192.0.2.27,198.51.100.13,443,tcp,http,mail.example,mail.example,/search?q=meeting+notes,browser-chro,benign,clean
405.6,192.0.2.11,198.51.100.12,443,tcp,http,assets.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
408.6,192.0.2.19,198.51.100.12,443,tcp,http,cdn.example,203.0.113.13,/api/v1/telemetry,c2-fronting-,campaign,malicious
429.2,192.0.2.14,198.51.100.11,443,tcp,http,updates.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
446.1,192.0.2.13,198.51.100.13,443,tcp,http,portal.example,portal.example,/index.html,browser-chro,benign,clean
446.3,192.0.2.11,198.51.100.11,443,tcp,http,api.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
456.9,192.0.2.27,198.51.100.53,123,udp,ntp,-,time.example,/,-,ntp,clean
456.9,192.0.2.19,198.51.100.10,443,tcp,http,static.example,203.0.113.13,/api/v1/telemetry,c2-fronting-,campaign,malicious
458.4,192.0.2.27,198.51.100.12,443,tcp,http,mail.example,mail.example,/search?q=meeting+notes,browser-chro,benign,clean
465.5,192.0.2.22,198.51.100.11,443,tcp,http,mail.example,mail.example,/,browser-chro,benign,clean
475.7,192.0.2.11,198.51.100.11,443,tcp,http,wiki.example,wiki.example,/index.html,browser-chro,benign,clean
478.0,192.0.2.14,198.51.100.12,443,tcp,http,cdn.example,203.0.113.10,/api/v1/telemetry,c2-fronting-,campaign,malicious
499.6,192.0.2.11,198.51.100.12,443,tcp,http,updates.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
501.9,192.0.2.19,198.51.100.11,443,tcp,http,updates.example,203.0.113.14,/api/v1/telemetry,c2-fronting-,campaign,malicious
515.5,192.0.2.14,198.51.100.12,443,tcp,http,api.example,203.0.113.10,/api/v1/telemetry,c2-fronting-,campaign,malicious
531.0,192.0.2.19,198.51.100.10,443,tcp,http,mail.example,mail.example,/search?q=meeting+notes,browser-chro,benign,clean
544.4,192.0.2.11,198.51.100.13,443,tcp,http,static.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
551.4,192.0.2.19,198.51.100.12,443,tcp,http,assets.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
558.0,192.0.2.27,198.51.100.12,443,tcp,http,mail.example,mail.example,/,browser-chro,benign,clean
560.2,192.0.2.14,198.51.100.11,443,tcp,http,api.example,203.0.113.13,/api/v1/telemetry,c2-fronting-,campaign,malicious
569.6,192.0.2.11,198.51.100.11,443,tcp,http,intranet.example,intranet.example,/index.html,browser-chro,benign,clean
582.7,192.0.2.14,198.51.100.11,443,tcp,http,wiki.example,wiki.example,/,browser-chro,benign,clean
585.5,192.0.2.12,198.51.100.53,123,udp,ntp,-,time.example,/,-,ntp,clean
589.4,192.0.2.11,198.51.100.13,443,tcp,http,api.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
596.0,192.0.2.18,198.51.100.10,443,tcp,http,portal.example,portal.example,/search?q=meeting+notes,browser-chro,benign,clean
601.5,192.0.2.19,198.51.100.12,443,tcp,http,api.example,203.0.113.13,/api/v1/telemetry,c2-fronting-,campaign,malicious
609.0,192.0.2.14,198.51.100.13,443,tcp,http,api.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
627.7,192.0.2.13,198.51.100.12,443,tcp,http,news.invalid,news.invalid,/search?q=meeting+notes,browser-chro,benign,clean
630.5,192.0.2.11,198.51.100.10,443,tcp,http,updates.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
641.8,192.0.2.22,198.51.100.11,443,tcp,http,search.example,search.example,/assets/app.css,browser-chro,benign,clean
644.8,192.0.2.19,198.51.100.11,443,tcp,http,static.example,203.0.113.13,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
662.4,192.0.2.14,198.51.100.11,443,tcp,http,updates.example,203.0.113.12,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
666.9,192.0.2.12,198.51.100.11,443,tcp,http,docs.example,docs.example,/index.html,browser-chro,benign,clean
676.9,192.0.2.11,198.51.100.12,443,tcp,http,api.example,203.0.113.14,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
695.9,192.0.2.19,198.51.100.13,443,tcp,http,api.example,203.0.113.13,/api/v1/telemetry,c2-fronting-,campaign,malicious
719.1,192.0.2.14,198.51.100.13,443,tcp,http,static.example,203.0.113.14,/api/v1/telemetry,c2-fronting-,campaign,malicious
720.4,192.0.2.11,198.51.100.13,443,tcp,http,static.example,203.0.113.14,/api/v1/telemetry,c2-fronting-,campaign,malicious
725.2,192.0.2.19,198.51.100.53,123,udp,ntp,-,ntp.example,/,-,ntp,clean
726.8,192.0.2.19,198.51.100.13,443,tcp,http,updates.example,203.0.113.13,/api/v1/telemetry,c2-fronting-,campaign,malicious
740.3,192.0.2.14,198.51.100.53,123,udp,ntp,-,ntp.example,/,-,ntp,clean
