ts,src,dst,dport,proto,app,sni,host,uri,ja3,family,verdict
0.5,192.0.2.21,198.51.100.53,53,udp,dns,-,checkin.example,/,-,dns,clean
0.6,192.0.2.15,198.51.100.53,53,udp,dns,-,docs.example,/,-,dns,clean
0.6,192.0.2.23,198.51.100.53,53,udp,dns,-,gatekeeper.example,/,-,dns,clean
0.7,192.0.2.12,198.51.100.53,53,udp,dns,-,intranet.example,/,-,dns,clean
0.7,192.0.2.13,198.51.100.53,53,udp,dns,-,mail.example,/,-,dns,clean
0.8,192.0.2.24,198.51.100.53,53,udp,dns,-,news.invalid,/,-,dns,clean
0.8,192.0.2.19,198.51.100.53,53,udp,dns,-,ntp.example,/,-,dns,clean
0.9,192.0.2.27,198.51.100.53,53,udp,dns,-,portal.example,/,-,dns,clean
0.9,192.0.2.21,198.51.100.53,53,udp,dns,-,search.example,/,-,dns,clean
0.9,192.0.2.15,198.51.100.53,53,udp,dns,-,time.example,/,-,dns,clean
1.0,192.0.2.23,198.51.100.53,53,udp,dns,-,wiki.example,/,-,dns,clean
3.8,192.0.2.24,198.51.100.53,123,udp,ntp,-,ntp.example,/,-,ntp,clean
7.4,192.0.2.15,198.51.100.10,443,tcp,http,checkin.example,checkin.example,/gate?id=385017052,ransom-famil,ransomware,malicious
17.7,192.0.2.13,198.51.100.53,123,udp,ntp,-,time.example,/,-,ntp,clean
21.9,192.0.2.12,198.51.100.12,443,tcp,http,docs.example,docs.example,/api/v1/me,browser-chro,benign,clean
24.9,192.0.2.15,198.51.100.11,443,tcp,http,intranet.example,intranet.example,/search?q=meeting+notes,browser-chro,benign,clean
25.4,192.0.2.23,198.51.100.12,443,tcp,http,portal.example,portal.example,/api/v1/me,browser-chro,benign,clean
27.2,192.0.2.24,198.51.100.11,443,tcp,http,mail.example,mail.example,/index.html,browser-chro,benign,clean
28.0,192.0.2.21,198.51.100.10,443,tcp,http,portal.example,portal.example,/,browser-chro,benign,clean
36.3,192.0.2.21,198.51.100.13,443,tcp,http,checkin.example,checkin.example,/gate?id=344664935,ransom-famil,ransomware,malicious
38.7,192.0.2.13,198.51.100.11,443,tcp,http,portal.example,portal.example,/index.html,browser-chro,benign,clean
38.9,192.0.2.19,198.51.100.11,443,tcp,http,news.invalid,news.invalid,/assets/app.css,browser-chro,benign,clean
52.7,192.0.2.27,198.51.100.13,443,tcp,http,intranet.example,intranet.example,/api/v1/me,browser-chro,benign,clean
85.8,192.0.2.23,198.51.100.53,123,udp,ntp,-,time.example,/,-,ntp,clean
87.1,192.0.2.21,198.51.100.53,123,udp,ntp,-,time.example,/,-,ntp,clean
127.0,192.0.2.15,198.51.100.13,443,tcp,http,gatekeeper.example,gatekeeper.example,/gate?id=309567443,ransom-famil,ransomware,malicious
132.5,192.0.2.13,198.51.100.12,443,tcp,http,news.invalid,news.invalid,/search?q=meeting+notes,browser-chro,benign,clean
156.3,192.0.2.21,198.51.100.13,443,tcp,http,gatekeeper.example,gatekeeper.example,/gate?id=996682845,ransom-famil,ransomware,malicious
218.3,192.0.2.15,198.51.100.12,443,tcp,http,search.example,search.example,/assets/app.css,browser-chro,benign,clean
