ts,src,dst,dport,proto,app,sni,host,uri,ja3,family,verdict
0.5,192.0.2.30,198.51.100.53,53,udp,dns,-,docs.example,/,-,dns,clean
0.6,192.0.2.28,198.51.100.53,53,udp,dns,-,intranet.example,/,-,dns,clean
0.6,192.0.2.22,198.51.100.53,53,udp,dns,-,mail.example,/,-,dns,clean
0.7,192.0.2.16,198.51.100.53,53,udp,dns,-,news.invalid,/,-,dns,clean
0.7,192.0.2.21,198.51.100.53,53,udp,dns,-,ntp.example,/,-,dns,clean
0.8,192.0.2.17,198.51.100.53,53,udp,dns,-,portal.example,/,-,dns,clean
0.8,192.0.2.26,198.51.100.53,53,udp,dns,-,search.example,/,-,dns,clean
0.9,192.0.2.23,198.51.100.53,53,udp,dns,-,time.example,/,-,dns,clean
0.9,192.0.2.30,198.51.100.53,53,udp,dns,-,wiki.example,/,-,dns,clean
21.8,192.0.2.28,198.51.100.12,443,tcp,http,news.invalid,news.invalid,/index.html,browser-chro,benign,clean
37.8,192.0.2.17,198.51.100.10,443,tcp,http,docs.example,docs.example,/api/v1/me,browser-chro,benign,clean
41.4,192.0.2.16,198.51.100.10,443,tcp,http,docs.example,docs.example,/,browser-chro,benign,clean
42.7,192.0.2.26,198.51.100.10,443,tcp,http,intranet.example,intranet.example,/api/v1/me,browser-chro,benign,clean
51.6,192.0.2.23,198.51.100.13,443,tcp,http,search.example,search.example,/api/v1/me,browser-chro,benign,clean
53.3,192.0.2.30,198.51.100.12,443,tcp,http,intranet.example,intranet.example,/assets/app.css,browser-chro,benign,clean
57.2,192.0.2.21,198.51.100.13,443,tcp,http,intranet.example,intranet.example,/search?q=meeting+notes,browser-chro,benign,clean
59.5,192.0.2.22,198.51.100.13,443,tcp,http,news.invalid,news.invalid,/api/v1/me,browser-chro,benign,clean
100.8,192.0.2.28,198.51.100.12,443,tcp,http,intranet.example,intranet.example,/,browser-chro,benign,clean
146.4,192.0.2.17,198.51.100.13,443,tcp,http,docs.example,docs.example,/index.html,browser-chro,benign,clean
155.7,192.0.2.21,198.51.100.53,123,udp,ntp,-,ntp.example,/,-,ntp,clean
168.9,192.0.2.26,198.51.100.11,443,tcp,http,docs.example,docs.example,/index.html,browser-chro,benign,clean
173.0,192.0.2.28,198.51.100.11,443,tcp,http,intranet.example,intranet.example,/api/v1/me,browser-chro,benign,clean
177.2,192.0.2.26,198.51.100.53,123,udp,ntp,-,time.example,/,-,ntp,clean
195.0,192.0.2.22,198.51.100.13,443,tcp,http,wiki.example,wiki.example,/,browser-chro,benign,clean
200.8,192.0.2.22,198.51.100.53,123,udp,ntp,-,ntp.example,/,-,ntp,clean
210.4,192.0.2.30,198.51.100.12,443,tcp,http,mail.example,mail.example,/api/v1/me,browser-chro,benign,clean
223.1,192.0.2.23,198.51.100.12,443,tcp,http,intranet.example,intranet.example,/index.html,browser-chro,benign,clean
