agent_id,profile,checkins,successes,failures,retries,interval_mean_s,interval_std_s,interval_min_s,interval_max_s,drift_mean_s,drift_p50_s,drift_p95_s,drift_max_s,attempts_p50,attempts_p95
0,default,1,1,0,0,,,,,0.670929,0.670929,0.670929,0.670929,1.000000,1.000000
1,default,1,1,0,0,,,,,0.228986,0.228986,0.228986,0.228986,1.000000,1.000000
2,default,1,1,0,0,,,,,1.532589,1.532589,1.532589,1.532589,1.000000,1.000000
3,default,1,1,0,0,,,,,1.326381,1.326381,1.326381,1.326381,1.000000,1.000000
4,default,1,1,0,0,,,,,0.677297,0.677297,0.677297,0.677297,1.000000,1.000000
5,default,1,1,0,0,,,,,1.306248,1.306248,1.306248,1.306248,1.000000,1.000000
6,default,1,1,0,0,,,,,0.742205,0.742205,0.742205,0.742205,1.000000,1.000000
7,default,1,1,0,0,,,,,0.164203,0.164203,0.164203,0.164203,1.000000,1.000000
8,default,1,1,0,0,,,,,1.216747,1.216747,1.216747,1.216747,1.000000,1.000000
9,default,1,1,0,0,,,,,0.715049,0.715049,0.715049,0.715049,1.000000,1.000000
