# Indicators of Compromise
ioc_type,value,source,confidence,context
ipv4,185.199.42.17,"connect (pid 3096), summary:hosts",0.90,"ip_address=185.199.42.17, port=8443"
ipv4,185.199.42.17:8443,connect (pid 3096),0.70,"ip_address=185.199.42.17, port=8443"
domain,updates.secure-delivery-cdn.com,"GetHostByName (pid 3096), summary:hosts",0.80,hostname=updates.secure-delivery-cdn.com
registry,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run\InvoiceUpdater,"RegCreateKeyExW (pid 1544), RegSetValueExW (pid 1544)",0.95,"regkey=HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run, value_name=InvoiceUpdater"
registry,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run,"RegCreateKeyExW (pid 1544), RegSetValueExW (pid 1544), summary:keys",0.85,"regkey=HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run, value_name=InvoiceUpdater"
file,C:\Users\analyst\AppData\Local\Temp\svchost.dll,"CreateFileW (pid 1544), WriteFile (pid 1544), summary:files",0.75,"file_name=C:\Users\analyst\AppData\Local\Temp\svchost.dll, desired_access=GENERIC_WRITE"
file,C:\Users\analyst\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup\helper.lnk,"CreateFileW (pid 3096), WriteFile (pid 3096), summary:files",0.75,"file_name=C:\Users\analyst\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup\helper.lnk, desired_access=GENERIC_WRITE"
file,C:\Windows\System32\rundll32.exe,CreateProcessW (pid 1544),0.75,"application_name=C:\Windows\System32\rundll32.exe, command_line=rundll32.exe C:\Users\analyst\AppData\Local\Temp\svchost.dll,Entry"
file,C:\Users\analyst\AppData\Local\Temp\invoice_2026_09.doc.exe,RegSetValueExW (pid 1544),0.60,"regkey=HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run, value_name=InvoiceUpdater, value=C:\Users\analyst\AppData\Local\Temp\invoice_2026_09.doc.exe"
file,"C:\Users\analyst\AppData\Local\Temp\svchost.dll,Entry",CreateProcessW (pid 1544),0.60,"application_name=C:\Windows\System32\rundll32.exe, command_line=rundll32.exe C:\Users\analyst\AppData\Local\Temp\svchost.dll,Entry"
file,C:\Users\analyst\AppData\Roaming\Microsoft\Windows\Start,"CreateFileW (pid 3096), WriteFile (pid 3096)",0.60,"file_name=C:\Users\analyst\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup\helper.lnk, desired_access=GENERIC_WRITE"
file,handle:0x1a4,CloseHandle (pid 1544),0.40,handle=0x1a4
mutex,\Local\Temp\invoice_2026_09.doc.exe,RegSetValueExW (pid 1544),0.80,"regkey=HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run, value_name=InvoiceUpdater, value=C:\Users\analyst\AppData\Local\Temp\invoice_2026_09.doc.exe"
mutex,\Local\Temp\svchost.dll,"CreateFileW (pid 1544), WriteFile (pid 1544)",0.80,"file_name=C:\Users\analyst\AppData\Local\Temp\svchost.dll, desired_access=GENERIC_WRITE"
mutex,"\Local\Temp\svchost.dll,Entry",CreateProcessW (pid 1544),0.80,"application_name=C:\Windows\System32\rundll32.exe, command_line=rundll32.exe C:\Users\analyst\AppData\Local\Temp\svchost.dll,Entry"
command,"rundll32.exe C:\Users\analyst\AppData\Local\Temp\svchost.dll,Entry","CreateProcessW (pid 1544), summary:executed_commands",0.70,"application_name=C:\Windows\System32\rundll32.exe, command_line=rundll32.exe C:\Users\analyst\AppData\Local\Temp\svchost.dll,Entry"
